,Sentence #,Word,Tag
0,1,أنصح,O
1,1,بالنوم,O
2,1,وليس,O
3,1,تناول,O
4,1,الطعام,O
5,1,موقع,B
6,1,مثالي,O
7,1,للإقامة,O
8,1,قبل,O
9,1,رحلة,O
10,1,طيران,O
11,1,مبكرة,O
12,1,.,O
13,2,كانت,O
14,2,الغرفة,B
15,2,ممتازة,O
16,2,وكذلك,O
17,2,الموظفون,B
18,2,وبوفيه,O
19,2,الإفطار,B
20,2,.,O
21,2,ومع,O
22,2,ذلك,O
23,2,فقد,O
24,2,كانت,O
25,2,وجبة,B
26,2,العشاء,I
27,2,في,O
28,2,المطعم,O
29,2,باهظة,O
30,2,الثمن,O
31,2,وغير,O
32,2,مرضية,O
33,2,.,O
34,3,فندق,B
35,3,يتميز,O
36,3,بمرافق,O
37,3,نوعيّة,O
38,3,وخلّاقة,O
39,3,وساخنة,O
40,3,.,O
41,3,قم,O
42,3,بشراء,O
43,3,وجبة,O
44,3,داخل,O
45,3,الغرفة,O
46,3,من,O
47,3,m,O
48,3,_,O
49,3,s,O
50,3,عند,O
51,3,الوصول,O
52,3,في,O
53,3,المطار,O
54,3,بدلا,O
55,3,من,O
56,3,ذلك,O
57,4,لمسة,O
58,4,بحرية,O
59,4,جميل,O
60,4,وظريفة،,O
61,4,فندق,B
62,4,تقليدي,O
63,4,في,O
64,4,المدينة,O
65,4,التاريخية,O
66,4,القديمة,O
67,4,.,O
68,5,سأوصي,O
69,5,بالتأكيد,O
70,5,بموقع,O
71,5,المدينة,B
72,5,القديمة,I
73,5,إلا,O
74,5,إنه,O
75,5,عليك,O
76,5,الحذر,O
77,5,من,O
78,5,الأسعار,B
79,5,السياحية,I
80,5,الأكثر,O
81,5,ارتفاعاً,O
82,5,.,O
83,6,فريق,B
84,6,العمل,B
85,6,الودود,O
86,6,والمتعاون,O
87,6,على,O
88,6,الإطلاق,O
89,6,والبار,O
90,6,المنعش,O
91,6,على,O
92,6,الإطلاق,O
93,6,خلال,O
94,6,فصل,O
95,6,الصيف,O
96,6,.,O
97,7,فندق,B
98,7,جميل،,O
99,7,ولكن,O
100,7,فقط,O
101,7,كن,O
102,7,جاهزاً,O
103,7,للمزيد,O
104,7,من,O
105,7,الجو,O
106,7,البحري,O
107,7,!,O
108,7,!,O
109,8,كان,O
110,8,الإفطار,B
111,8,مبهجاً,O
112,8,-,O
113,8,لذيذ,O
114,8,للغاية,O
115,8,مع,O
116,8,تشكيلة,O
117,8,رائعة,O
118,8,.,O
119,8,رائع,O
120,8,-,O
121,8,5,O
122,8,نجوم,O
123,8,!,O
124,9,من,O
125,9,افضل,O
126,9,فنادق,O
127,9,المدينه,O
128,9,المنوره,O
129,9,انصح,O
130,9,وبشده,O
131,9,من,O
132,9,يريد,O
133,9,ان,O
134,9,يشعر,O
135,9,انه,O
136,9,في,O
137,9,بيته,O
138,9,الثاني,O
139,9,ان,O
140,9,يذهب,O
141,9,اليه,O
142,9,اكل,B
143,9,نظيف,O
144,9,تعامل,B
145,9,راقي,O
146,10,خدمات,B
147,10,مميزه,O
148,10,موقع,B
149,10,ممتاز,O
150,10,وقريب,O
151,10,خصوصا,O
152,10,لمن,O
153,10,معهم,O
154,10,نساء,O
155,10,وذلك,O
156,10,لقربه,O
157,10,من,O
158,10,بوابة,O
159,10,مصلى,O
160,10,النساء,O
161,10,نظافة,O
162,10,المكان,B
163,11,وجود,O
164,11,خدمات,B
165,11,توصيل,O
166,11,من,O
167,11,والى,O
168,11,المطار,O
169,11,وجود,O
170,11,سيارات,O
171,11,تنقلك,O
172,11,الى,O
173,11,المزارات,O
174,11,(,O
175,11,مسجد,O
176,11,قباء,O
177,11,-,O
178,11,مقبرة,O
179,11,الشهداء,O
180,11,-,O
181,11,مقبرة,O
182,11,البقيع,O
183,11,),O
184,12,من,O
185,12,افضل,O
186,12,الفنادق,B
187,12,التي,O
188,12,تجعلك,O
189,12,تشتاق,O
190,12,الي,O
191,12,العرده,O
192,12,اليه,O
193,12,والاقامه,O
194,12,فيه,O
195,12,حيث,O
196,12,الرقي,O
197,12,والرفاهيه,O
198,12,والامتياز,O
199,12,في,O
200,12,تقديم,O
201,12,الخدمه,B
202,13,وايضا,O
203,13,لديكم,O
204,13,افضل,O
205,13,وامهر,O
206,13,الاشخاص,O
207,13,مع,O
208,13,النزلاء,O
209,13,وانصح,O
210,13,الجميع,O
211,13,بتجربه,O
212,13,الصاله,B
213,13,التنفيذيه,I
214,13,ولديهم,O
215,13,افضل,O
216,13,الوجبات,B
217,13,من,O
218,13,حيث,O
219,13,الجوده,O
220,13,و,O
221,13,الطعم,O
222,13,و,O
223,13,الموقع,O
224,13,ممتاز,O
225,13,مع,O
226,13,الحرم,B
227,14,فندق,B
228,14,رائع,O
229,14,الفندق,B
230,14,اكثر,O
231,14,من,O
232,14,رائع,O
233,14,وخصوصا,O
234,14,مستوى,B
235,14,الخدمه,I
236,14,وسرعه,O
237,14,تلبيه,O
238,14,رغباتى,O
239,14,من,O
240,14,قبل,O
241,14,مكاتب,O
242,14,الاستقبال,B
243,14,والرقى,O
244,14,فى,O
245,14,التعامل,O
246,14,من,O
247,14,بدايه,O
248,14,الاستقبال,O
249,14,فى,O
250,14,المطار,O
251,14,وحتى,O
252,14,المغادره,O
253,15,مستوى,O
254,15,مركز,B
255,15,اللياقه,I
256,15,البدنيه,I
257,15,ممتاز,O
258,15,الفندق,B
259,15,قريب,O
260,15,من,O
261,15,غلب,O
262,15,مناطق,O
263,15,الكويت,O
264,15,الترفيهيه,O
265,15,والمزارات,O
266,15,السياحيه,O
267,15,والمطاعم,O
268,15,ويعتبر,O
269,15,من,O
270,15,اقرب,O
271,15,الفنادق,O
272,15,للشاطئ,O
273,16,اقامة,B
274,16,هادئة,O
275,17,لقد,O
276,17,اقمت,O
277,17,3,O
278,17,ايام,O
279,17,فى,O
280,17,هذا,O
281,17,الفندق,O
282,17,الجميل,O
283,17,وكنت,O
284,17,ذاهب,O
285,17,للاستجمام,O
286,17,ووجد,O
287,17,فيه,O
288,17,كل,O
289,17,الهدوء,B
290,17,الذى,O
291,17,كنت,O
292,17,اتمناه,O
293,17,ووجدت,O
294,17,فيه,O
295,17,مناظر,O
296,17,جميلة,O
297,17,وشيقة,O
298,17,مثل,O
299,17,مطاعمه,B
300,17,الكثيرة,O
301,17,والمصنفة,O
302,17,عالميا,O
303,18,ورأيت,O
304,18,فى,O
305,18,جميع,O
306,18,العاملين,B
307,18,الخدمة,O
308,18,الممتازة,O
309,18,.,O
310,18,واشكر,O
311,18,السيد,O
312,18,/,O
313,18,محسن,O
314,18,على,O
315,18,المساعدة,O
316,18,وقيامه,O
317,18,بكل,O
318,18,واجبات,O
319,18,عمله,O
320,18,معى,O
321,18,واشكر,O
322,18,ايضا,O
323,18,البواب,O
324,18,عدنان,O
325,18,لتذكيري,O
326,18,بعد,O
327,18,ان,O
328,18,نسيت,O
329,18,هاتفي,O
330,18,الجوال,O
331,18,بالتاكسي,O
332,18,،,O
333,18,واشكر,O
334,18,جميع,O
335,18,العاملين,O
336,18,بهذا,O
337,18,الفندق,B
338,18,الممتاز,O
339,19,رحلة,O
340,19,عمل,O
341,19,سأظل,O
342,19,أتذكر,O
343,19,هذا,O
344,19,الفندق,O
345,19,لسنوات,O
346,19,عديدة،,O
347,19,فقد,O
348,19,كانت,O
349,19,هناك,O
350,19,صراصير,O
351,19,في,O
352,19,الغرفة،,O
353,20,(,O
354,20,وهم,O
355,20,يرشون,O
356,20,المكان,O
357,20,طوال,O
358,20,الوقت,O
359,20,ولكن,O
360,20,الصراصير,O
361,20,لا,O
362,20,تنتهي,O
363,20,أبدا,O
364,20,!,O
365,20,),O
366,20,وعلى,O
367,20,الرغم,O
368,20,من,O
369,20,أن,O
370,20,موظفي,B
371,20,الفندق,I
372,20,كانوا,O
373,20,يبذلون,O
374,20,قصارى,O
375,20,جهدهم،,O
376,20,وأنا,O
377,20,أشكرهم,O
378,20,على,O
379,20,ذلك،,O
380,20,إلا,O
381,20,أن,O
382,20,المرافق,B
383,20,لم,O
384,20,تكن,O
385,20,تساعدهم,O
386,20,على,O
387,20,ذلك,O
388,20,.,O
389,21,والنوافذ,O
390,21,كان,O
391,21,بها,O
392,21,طبقة,O
393,21,واحدة,O
394,21,من,O
395,21,الزجاج,O
396,21,ولذلك,O
397,21,كان,O
398,21,صوت,O
399,21,أبواق,O
400,21,السيارات,O
401,21,مزعجا,O
402,21,حقا,O
403,21,طوال,O
404,21,الليل,O
405,21,.,O
406,22,ولن,O
407,22,أنصح,O
408,22,أحد,O
409,22,بهذا,O
410,22,الفندق,B
411,22,لا,O
412,22,سيما,O
413,22,إذا,O
414,22,كان,O
415,22,يصطحب,O
416,22,أطفالا,O
417,22,.,O
418,23,وبالنسبة,O
419,23,لرحلات,O
420,23,العمل,O
421,23,القصيرة،,O
422,23,التي,O
423,23,لا,O
424,23,تستدعي,O
425,23,إجراءات,O
426,23,خاصة،,O
427,23,لا,O
428,23,بأس,O
429,23,بهذا,O
430,23,الفندق،,O
431,23,ولكن,O
432,23,ليس,O
433,23,أكثر,O
434,23,من,O
435,23,ذلك,O
436,23,!,O
437,24,متوسط,O
438,24,الفندق,B
439,24,مقبول,O
440,24,بدرجة,O
441,24,متوسطة,O
442,24,و,O
443,24,في,O
444,24,بعض,O
445,24,حاجات,O
446,24,مش,O
447,24,مقبولة,O
448,25,و,O
449,25,هي,O
450,25,1:-في,O
451,25,صراصير,O
452,25,بالحمام,O
453,25,مش,O
454,25,كثير,O
455,25,بي,O
456,25,بكره,O
457,25,أكيد,O
458,25,بكثرة,O
459,26,2:-,O
460,26,الماء,B
461,26,الساخن,O
